sampleid	pig_number	necropsy	diet	site	sample	necropsy_diet
Extractionctrl	NA	NA	NA	NA	Extractionctrl	NA_NA
NoDNA	NA	NA	NA	NA	NoDNA	NA_NA
S1	1	Two_wpw	NoAbx	CC	S1	Two_wpw_NoAbx
S10	5	Two_wpw	NoAbx	Il	S10	Two_wpw_NoAbx
S100	49	Four_wpw	NoAbx	CS	S100	Four_wpw_NoAbx
S105	53	Four_wpw	NoAbx	CC	S105	Four_wpw_NoAbx
S107	53	Four_wpw	NoAbx	Jej	S107	Four_wpw_NoAbx
S108	53	Four_wpw	NoAbx	CS	S108	Four_wpw_NoAbx
S113	57	Four_wpw	NoAbx	CC	S113	Four_wpw_NoAbx
S114	57	Four_wpw	NoAbx	Il	S114	Four_wpw_NoAbx
S115	57	Four_wpw	NoAbx	Jej	S115	Four_wpw_NoAbx
S116	57	Four_wpw	NoAbx	CS	S116	Four_wpw_NoAbx
S12	5	Two_wpw	NoAbx	CS	S12	Two_wpw_NoAbx
S121	61	Four_wpw	NoAbx	CC	S121	Four_wpw_NoAbx
S122	61	Four_wpw	NoAbx	Il	S122	Four_wpw_NoAbx
S123	61	Four_wpw	NoAbx	Jej	S123	Four_wpw_NoAbx
S124	61	Four_wpw	NoAbx	CS	S124	Four_wpw_NoAbx
S17	9	Two_wpw	NoAbx	CC	S17	Two_wpw_NoAbx
S18	9	Two_wpw	NoAbx	Il	S18	Two_wpw_NoAbx
S19	9	Two_wpw	NoAbx	Jej	S19	Two_wpw_NoAbx
S2	1	Two_wpw	NoAbx	Il	S2	Two_wpw_NoAbx
S20	9	Two_wpw	NoAbx	CS	S20	Two_wpw_NoAbx
S25	13	Two_wpw	NoAbx	CC	S25	Two_wpw_NoAbx
S26	13	Two_wpw	NoAbx	Il	S26	Two_wpw_NoAbx
S27	13	Two_wpw	NoAbx	Jej	S27	Two_wpw_NoAbx
S28	13	Two_wpw	NoAbx	CS	S28	Two_wpw_NoAbx
S3	1	Two_wpw	NoAbx	Jej	S3	Two_wpw_NoAbx
S33	17	Two_wpw	NoAbx	CC	S33	Two_wpw_NoAbx
S34	17	Two_wpw	NoAbx	Il	S34	Two_wpw_NoAbx
S35	17	Two_wpw	NoAbx	Jej	S35	Two_wpw_NoAbx
S36	17	Two_wpw	NoAbx	CS	S36	Two_wpw_NoAbx
S4	1	Two_wpw	NoAbx	CS	S4	Two_wpw_NoAbx
S41	21	Two_wpw	NoAbx	CC	S41	Two_wpw_NoAbx
S42	21	Two_wpw	NoAbx	Il	S42	Two_wpw_NoAbx
S43	21	Two_wpw	NoAbx	Jej	S43	Two_wpw_NoAbx
S44	21	Two_wpw	NoAbx	CS	S44	Two_wpw_NoAbx
S49	25	Two_wpw	NoAbx	CC	S49	Two_wpw_NoAbx
S50	25	Two_wpw	NoAbx	Il	S50	Two_wpw_NoAbx
S51	25	Two_wpw	NoAbx	Jej	S51	Two_wpw_NoAbx
S52	25	Two_wpw	NoAbx	CS	S52	Two_wpw_NoAbx
S57	29	Two_wpw	NoAbx	CC	S57	Two_wpw_NoAbx
S58	29	Two_wpw	NoAbx	Il	S58	Two_wpw_NoAbx
S59	29	Two_wpw	NoAbx	Jej	S59	Two_wpw_NoAbx
S60	29	Two_wpw	NoAbx	CS	S60	Two_wpw_NoAbx
S66	33	Four_wpw	NoAbx	Il	S66	Four_wpw_NoAbx
S67	33	Four_wpw	NoAbx	Jej	S67	Four_wpw_NoAbx
S68	33	Four_wpw	NoAbx	CS	S68	Four_wpw_NoAbx
S73	37	Four_wpw	NoAbx	CC	S73	Four_wpw_NoAbx
S74	37	Four_wpw	NoAbx	Il	S74	Four_wpw_NoAbx
S75	37	Four_wpw	NoAbx	Jej	S75	Four_wpw_NoAbx
S76	37	Four_wpw	NoAbx	CS	S76	Four_wpw_NoAbx
S81	41	Four_wpw	NoAbx	CC	S81	Four_wpw_NoAbx
S82	41	Four_wpw	NoAbx	Il	S82	Four_wpw_NoAbx
S83	41	Four_wpw	NoAbx	Jej	S83	Four_wpw_NoAbx
S84	41	Four_wpw	NoAbx	CS	S84	Four_wpw_NoAbx
S89	45	Four_wpw	NoAbx	CC	S89	Four_wpw_NoAbx
S9	5	Two_wpw	NoAbx	CC	S9	Two_wpw_NoAbx
S90	45	Four_wpw	NoAbx	Il	S90	Four_wpw_NoAbx
S91	45	Four_wpw	NoAbx	Jej	S91	Four_wpw_NoAbx
S92	45	Four_wpw	NoAbx	CS	S92	Four_wpw_NoAbx
S97	49	Four_wpw	NoAbx	CC	S97	Four_wpw_NoAbx
S98	49	Four_wpw	NoAbx	Il	S98	Four_wpw_NoAbx
S99	49	Four_wpw	NoAbx	Jej	S99	Four_wpw_NoAbx